Mass Airflow Sensor Voltage (V),Engine Speed (rpm),Engine Load* (g/rev),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
4.48,5635,2.72,10
4.48,5742,2.7,10
4.52,5800,2.67,10
4.5,5846,2.62,10
4.26,4667,2.77,13.6
4.3,4708,2.81,14.2
4.34,4817,2.85,14.9
4.36,4845,2.88,15
4.36,4905,2.88,14.4
4.4,4928,2.9,14.9
4.42,5016,2.91,14.9
4.42,5033,2.94,14.5
4.44,5078,2.93,14.6
4.44,5105,2.94,14.6
4.46,5151,2.95,14.4
4.46,5172,2.92,14.4
4.46,5252,2.89,10.3
4.48,5282,2.88,10.1
4.48,5323,2.87,10
4.48,5368,2.86,10
4.48,5419,2.85,10
4.48,5458,2.84,10
4.5,5519,2.83,10
4.52,5535,2.84,10
4.52,5593,2.82,10
4.52,5614,2.82,10
4.16,4276,2.77,15.4
4.16,4280,2.79,14.3
4.14,4305,2.78,10
4.18,4345,2.8,10
4.2,4414,2.81,10
4.2,4475,2.81,10
4.22,4486,2.81,10
4.26,4537,2.83,10
4.26,4548,2.82,10
4.26,4590,2.82,10
4.28,4632,2.85,10
4.3,4658,2.86,10
4.32,4723,2.88,10
4.34,4759,2.87,10
4.34,4777,2.88,10
4.34,4808,2.88,10
4.36,4848,2.9,10
4.38,4912,2.87,10
4.38,4967,2.89,10
4.4,4996,2.91,10
4.4,5030,2.88,10
4.42,5102,2.88,10
4.42,5133,2.88,10
4.42,5140,2.86,10
4.44,5219,2.87,10
4.46,5252,2.86,10
4.46,5282,2.86,10
4.48,5342,2.84,10
4.48,5353,2.84,10
4.48,5396,2.83,10
4.5,5419,2.82,10
4.5,5470,2.8,10
4.5,5502,2.81,10
4.5,5576,2.79,10
4.5,5580,2.79,10
4.5,5643,2.77,10
4.52,5656,2.79,10
4.54,5660,2.77,10
4.52,5742,2.77,10
4.16,4368,2.78,14.1
4.18,4376,2.79,16.1
4.2,4365,2.81,14.2
4.24,4462,2.83,14.9
4.26,4496,2.85,14.9
4.26,4542,2.87,14.5
4.28,4570,2.88,14.6
4.3,4629,2.86,11.7
4.32,4652,2.87,10.1
4.32,4738,2.86,10
4.32,4783,2.88,10
4.34,4817,2.88,10
4.36,4873,2.88,10
4.38,4886,2.9,10
4.38,4905,2.89,10
4.38,4977,2.89,10
4.4,4986,2.88,10
4.4,5057,2.88,10
4.42,5109,2.88,10
4.44,5144,2.88,10
4.46,5183,2.87,10
4.44,5226,2.87,10
